AddressID,StreetAddress,City,State,Zip
102110,33776 S School Leaf Avenue,Hoagland,"Indiana, IN",46745
102111,32732 SW Kurtwood Lake Loop,Barnsdall,"Oklahoma, OK",74002
102112,9445 West Wallingford Terrace Avenue,Fort Myers Beach,"Florida, FL",33931
102113,25495 E New Jersey Point Lane,Pardeeville,"Wisconsin, WI",53954
102114,29449 SW Boxwood Lake Hillclimb,Barlow,"Ohio, OH",45712
102115,28025 N Monoceros Valley Hwy,Lynchburg,"Virginia, VA",24515
102116,28513 NW Jackson Lake Hwy,Maplesville,"Alabama, AL",36750
102117,16350 N Rutherford Heights Sloop,Denver,"Colorado, CO",80259
102118,17833 West Fillmore Island Highway,Clearwater,"Florida, FL",33769
102119,27481 E Blue Spruce Ridge Hillclimb,Tracy City,"Tennessee, TN",37387
102120,26138 N Jackson View Trail,Spring City,"Pennsylvania, PA",19475
102121,12047 South Meridian Valley Drive,Miami,"Florida, FL",33265
102122,11712 East Mount Baker Valley Arterial,Princeton,"New Jersey, NJ",8541
102123,20503 W Country Heights Loop,Kalamazoo,"Michigan, MI",49008
102124,29107 E Central Point Hillclimb,Charleston,"South Carolina, SC",29412
102125,4488 SE Meadowbrook Park Alley,Gilbert,"Arizona, AZ",85295
102126,28062 West Harding Island Highway,Tekonsha,"Michigan, MI",49092
102127,9410 S Lander Bay Sloop,Redding,"Connecticut, CT",6896
102128,5194 North Anisodontea Terrace Pass,Randall,"Kansas, KS",66963
102129,21305 S Euclid Ridge Circle,Orlando,"Florida, FL",32825
102130,32167 SW Latona Valley Court,Spring Garden,"Alabama, AL",36275
102131,7231 W Quadrant Park Boulevard,Walker,"Minnesota, MN",56484
102132,4505 NW Hippocrates Bay Blvd,Islandton,"South Carolina, SC",29929
102133,22158 NW Junction View Place,Western Springs,"Illinois, IL",60558
102134,33997 E Lusterleaf Point Blvd,Atkinson,"New Hampshire, NH",3811
102135,27760 East Nebraska Bay Alley,Lunenburg,"Vermont, VT",5906
102136,5196 SE Hendricks View Trail,Mountain,"North Dakota, ND",58262
102137,20509 SE Prefontaine Heights Highway,Hemingway,"South Carolina, SC",29554
102138,23526 East Columbia Hill Post,Emerado,"North Dakota, ND",58228
102139,29354 SW Northlake Terrace Arterial,Houston,"Texas, TX",77277
102140,30311 N Amorphophallus Heights Drive,San Luis,"Colorado, CO",81152
102141,22917 NW Edmundson Point Avenue,Evansville,"Indiana, IN",47724
102142,28789 South Holly Bay Walk,Chestnut Mountain,"Georgia, GA",30502
102143,21998 SE Clark Park Loop,Sac City,"Iowa, IA",50583
102144,27492 West Marion Park Arterial,North Bend,"Ohio, OH",45052
102145,20640 SE Lakeview Bay Route,Sandy,"Utah, UT",84094
102146,28367 N Greenwood Point Route,Holland,"Michigan, MI",49422
102147,7898 N Walnut Point Hwy,Delaware,"New Jersey, NJ",7833
102148,34318 South Sarkisian Heights Walk,Witt,"Illinois, IL",62094
102149,24593 West Breckinridge Point Hillclimb,Marion,"South Dakota, SD",57043
102150,970 East Green Beach Walk,Tenaha,"Texas, TX",75974
102151,18555 S Kane Lake Post,Bloomington Springs,"Tennessee, TN",38545
102152,4636 North Flamingo Lake Circle,Avera,"Georgia, GA",30803
102153,23900 North Marshall Island Lane,Birney,"Montana, MT",59012
102154,27115 South Bitterweed Ridge Walk,Solgohachia,"Arkansas, AR",72156
102155,8733 N California Ridge Avenue,Plymouth,"Maine, ME",4969
102156,6017 NE Georgetown Island Sloop,Saco,"Maine, ME",4072
102157,33072 East Fulton Island Way,Buffalo,"Texas, TX",75831
102158,20783 West Hickory Valley Circle,Centerville,"Pennsylvania, PA",16404
102159,7726 N Queen Park Alley,Minnie,"Kentucky, KY",41651
102160,17183 SE Marshall Hill Court,Mosinee,"Wisconsin, WI",54455
102161,13771 South Windermere Beach Place,Ankeny,"Iowa, IA",50021
102162,23590 West Arlington Point Blvd,Woodland,"Alabama, AL",36280
102163,18192 West Montana Hill Lane,Bridgeville,"Pennsylvania, PA",15017
102164,24296 West Kurtwood Heights Pass,Knoxville,"Tennessee, TN",37901
102165,15995 SE Bridle Terrace Way,South Ryegate,"Vermont, VT",5069
102166,4771 S Johnson Island Route,Mears,"Michigan, MI",49436
102167,18849 North Lakeridge Leaf Lane,Trezevant,"Tennessee, TN",38258
102168,3434 N Garner Park Arterial,Pe Ell,"Washington, WA",98572
102169,12009 SW Aucuba Point Route,Gates Mills,"Ohio, OH",44040
102170,24447 SW Taylor View Walk,Rockland,"Maine, ME",4841
102171,12134 S Central Bay Place,Stow,"Massachusetts, MA",1775
102172,1022 West Bremerton Island Avenue,Morrisonville,"Illinois, IL",62546
102173,10683 N Canyon View Post,Austin,"Texas, TX",78703
102174,20030 N Monoceros Lake Stop,Watertown,"Massachusetts, MA",2472
102175,27705 NW Pleasant Lake Post,Fort Wayne,"Indiana, IN",46864
102176,6775 S Division View Lane,Ringtown,"Pennsylvania, PA",17967
102177,7690 NW Jared Bay Pass,Foster,"Virginia, VA",23056
102178,8499 East Drumheller Valley Arterial,San Antonio,"Texas, TX",78298
102179,8786 South Garfield Bay Avenue,Miami,"Florida, FL",33176
102180,28389 NW Bridge Ridge Avenue,Eastabuchie,"Mississippi, MS",39436
102181,29654 N Ivy Heights Decline,Springfield,"Massachusetts, MA",1152
