DetailValue,DetailType,Success,source_product_title,source_JobURL
Brand,Ktaxon,Succeeded,Ktaxon 5' X 50' 2 Mil Diamond Foil Silver Reflective  ...,https://www.walmart.com/ip/Ktaxon-5-X-50-2-Mil-Diamond-Foil-Silver-Reflective-Mylar-Grow-Room-Film-210D-Oxford-Cloth/239900164
Brand,Planters' Pride,Succeeded,Planters Pride RZG0809 72 Cell Plastic Greenhouse Ki  ...,https://www.walmart.com/ip/Planters-Pride-RZG0809-72-Cell-Plastic-Greenhouse-Kit/19241112
Material,Multi,Succeeded,Planters Pride RZG0809 72 Cell Plastic Greenhouse Ki  ...,https://www.walmart.com/ip/Planters-Pride-RZG0809-72-Cell-Plastic-Greenhouse-Kit/19241112
Model,RZG0809,Succeeded,Planters Pride RZG0809 72 Cell Plastic Greenhouse Ki  ...,https://www.walmart.com/ip/Planters-Pride-RZG0809-72-Cell-Plastic-Greenhouse-Kit/19241112
Color,Multicolor,Succeeded,Planters Pride RZG0809 72 Cell Plastic Greenhouse Ki  ...,https://www.walmart.com/ip/Planters-Pride-RZG0809-72-Cell-Plastic-Greenhouse-Kit/19241112
Manufacturer Part Number,1373-2540,Succeeded,Planters Pride RZG0809 72 Cell Plastic Greenhouse Ki  ...,https://www.walmart.com/ip/Planters-Pride-RZG0809-72-Cell-Plastic-Greenhouse-Kit/19241112
Assembled Product Dimensions (L x W x H),11.50 x 21.50 x 2.00 Inches,Succeeded,Planters Pride RZG0809 72 Cell Plastic Greenhouse Ki  ...,https://www.walmart.com/ip/Planters-Pride-RZG0809-72-Cell-Plastic-Greenhouse-Kit/19241112
Manufacturer Part Number,SDR5010030B,Succeeded,Agfabric 50% Sunblock Shade Cloth 10x30ft Black -Cut  ...,https://www.walmart.com/ip/Agfabric-50-Sunblock-Shade-Cloth-10x30ft-Black-Cut-Edge-with-Free-clips-for-Plant-Cover-Greenhouse-Barn-Kennel-Pool-Pergola-or-Carport/697950834
Multipack Quantity,5,Succeeded,Agfabric 50% Sunblock Shade Cloth 10x30ft Black -Cut  ...,https://www.walmart.com/ip/Agfabric-50-Sunblock-Shade-Cloth-10x30ft-Black-Cut-Edge-with-Free-clips-for-Plant-Cover-Greenhouse-Barn-Kennel-Pool-Pergola-or-Carport/697950834
Model,SDR5010030B,Succeeded,Agfabric 50% Sunblock Shade Cloth 10x30ft Black -Cut  ...,https://www.walmart.com/ip/Agfabric-50-Sunblock-Shade-Cloth-10x30ft-Black-Cut-Edge-with-Free-clips-for-Plant-Cover-Greenhouse-Barn-Kennel-Pool-Pergola-or-Carport/697950834
Brand,Agfabric,Succeeded,Agfabric 50% Sunblock Shade Cloth 10x30ft Black -Cut  ...,https://www.walmart.com/ip/Agfabric-50-Sunblock-Shade-Cloth-10x30ft-Black-Cut-Edge-with-Free-clips-for-Plant-Cover-Greenhouse-Barn-Kennel-Pool-Pergola-or-Carport/697950834
Brand,Little Cottage Company,Succeeded,Little Cottage 8 x 8 ft. Colonial Gable Greenhouse w  ...,https://www.walmart.com/ip/Little-Cottage-8-x-8-ft-Colonial-Gable-Greenhouse-with-Optional-Floor-Kit/20433654
