price,rating,price_range,product_title,JobURL,
$118.99 $149.99,,,"Impressions Reflections 50-Gallon Rain Saver, Dark G  ...",https://www.walmart.com/ip/Impressions-Reflections-50-Gallon-Rain-Saver-Dark-Granite/47192430,0.58991882
$210.39 ,"Average rating:3.7778out of5stars, based on9reviews9ratings Average rating:3.7778out of5stars, based on9reviews9ratings",,"Rain Wizard Urn, Dark Granite",https://www.walmart.com/ip/Rain-Wizard-Urn-Dark-Granite/21633944,0.375947963
$105.64 $221.09,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,Painted Rain Barrel - Nantucket Grey,https://www.walmart.com/ip/Painted-Rain-Barrel-Nantucket-Grey/39355481,0.29288404
$30.80 $32.98,,,RTS Rain Barrel Stand,https://www.walmart.com/ip/RTS-Rain-Barrel-Stand/20418990,0.169106179
$12.91 $14.99,,,Full Circle Scrap Happy Scrap Collector and Freezer   ...,https://www.walmart.com/ip/Full-Circle-Scrap-Happy-Scrap-Collector-and-Freezer-Compost-Bin-Slate/46660960,0.793424859
$46.12 $59.99,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,"Rain Wizard Urn Stand, Terra Cotta",https://www.walmart.com/ip/Rain-Wizard-Urn-Stand-Terra-Cotta/49334409,0.215327756
$86.99 $97.99,,,Suncast 50 Gallon Rain Barrel,https://www.walmart.com/ip/Suncast-50-Gallon-Rain-Barrel/11254347,0.313413939
$152.99 $158.99,"Average rating:4.5out of5stars, based on2reviews2ratings Average rating:4.5out of5stars, based on2reviews2ratings",,"Rain Wizard 65, Darkened Ribs, Green",https://www.walmart.com/ip/Rain-Wizard-65-Darkened-Ribs-Green/49334400,0.946642569
$9.77 ,,,2 in 1 Sieve,https://www.walmart.com/ip/2-in-1-Sieve/715983373,0.455147084
$204.99 $222.99,,,Tierra Garden Graf 74 Gal. Stationary Composter,https://www.walmart.com/ip/Tierra-Garden-Graf-74-Gal-Stationary-Composter/54774242,0.380479669
$93.99 ,,,Tierra Garden Graf 79 Gal. Stationary Composter,https://www.walmart.com/ip/Tierra-Garden-Graf-79-Gal-Stationary-Composter/54327309,0.560161698
$107.99 $116.99,,,"Impressions Downton 50-Gallon Rain Saver, Red Brick",https://www.walmart.com/ip/Impressions-Downton-50-Gallon-Rain-Saver-Red-Brick/47192419,0.197159825
$16.25 $32.99,,,Household Metal Round Garbage Drainer Sink Strainer   ...,https://www.walmart.com/ip/Household-Metal-Round-Garbage-Drainer-Sink-Strainer-Silver-Tone-11-2cm-Dia-4-Pcs/159786713,0.455848787
$118.99 ,,,"Impressions 50-Gallon Nantucket Rain Saver, Dark Bro  ...",https://www.walmart.com/ip/Impressions-50-Gallon-Nantucket-Rain-Saver-Dark-Brown/40572169,0.777602882
