price,rating,price_range,product_title,JobURL
$11.47 $12.88,"Average rating:4.85out of5stars, based on20reviews20ratings Average rating:4.85out of5stars, based on20reviews20ratings",,Fiskars Smooth-Action Bypass Pruner,https://www.walmart.com/ip/Fiskars-Smooth-Action-Bypass-Pruner/19794440
$16.97,"Average rating:4.9out of5stars, based on50reviews50ratings Average rating:4.9out of5stars, based on50reviews50ratings",,"Fiskars Extendable Power-Lever Lopper (25"" - 37"")",https://www.walmart.com/ip/Fiskars-Extendable-Power-Lever-Lopper-25-37/13376290
$119.18,"Average rating:3.8393out of5stars, based on112reviews112ratings Average rating:3.8393out of5stars, based on112reviews112ratings",,"Agri-Fab, Inc. 26"" 6.2 Cu. Ft. Capacity Push Lawn Sw  ...",https://www.walmart.com/ip/Agri-Fab-Inc-26-6-2-Cu-Ft-Capacity-Push-Lawn-Sweeper-Model-45-02182/10727799?wpa_bd=1525503682137&wpa_ref_id=b_55271f0d-d2ac-4601-a654-118fb05d4b4b&wpa_aux_info=&wpa_tag=&wpa_pos=3&wpa_plmt=1145x1145_T-C-IG_TI_1-1_HL-INGRID-GRID-NY&wpa_aduid=2c2ca909-b7c1-4765-8ec5-8bf426032b29&wpa_pg_id=5428_4091_4689569&wpa_st=GardenToolsEquipment&wpa_tax=5428_4091_4689569&wpa_bucket=
$19.97 $22.36,"Average rating:3.6667out of5stars, based on9reviews9ratings Average rating:3.6667out of5stars, based on9reviews9ratings",,Fiskars Power-Lever UltraBlade Softgrip Hedge Shears  ...,https://www.walmart.com/ip/Fiskars-Power-Lever-UltraBlade-Softgrip-Hedge-Shears-23/19856862
$91.75,"Average rating:4.2222out of5stars, based on18reviews18ratings Average rating:4.2222out of5stars, based on18reviews18ratings",,"Agri-Fab, Inc. 18"" x 24"" Poly Push/Tow Lawn Roller L  ...",https://www.walmart.com/ip/Agri-Fab-Inc-18-x-24-Poly-Push-Tow-Lawn-Roller-Lawn-Roller-Model-45-02671/10727801?wpa_bd=1525503682174&wpa_ref_id=b_58cc3539-1294-4997-a64c-d336cf475f16&wpa_aux_info=&wpa_tag=&wpa_pos=5&wpa_plmt=1145x1145_T-C-IG_TI_1-1_HL-INGRID-GRID-NY&wpa_aduid=2c2ca909-b7c1-4765-8ec5-8bf426032b29&wpa_pg_id=5428_4091_4689569&wpa_st=GardenToolsEquipment&wpa_tax=5428_4091_4689569&wpa_bucket=
$39.53,"Average rating:4.6856out of5stars, based on264reviews264ratings Average rating:4.6856out of5stars, based on264reviews264ratings",,Suncast Lawn Cart,https://www.walmart.com/ip/Suncast-Lawn-Cart/15712457
$6.29 $6.97,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,Fiskars Ergo Trowel,https://www.walmart.com/ip/Fiskars-Ergo-Trowel/19794438
$8.69,"Average rating:4out of5stars, based on2reviews2ratings Average rating:4out of5stars, based on2reviews2ratings",,Fiskars 3-Piece DuraFrame Garden Tools Set,https://www.walmart.com/ip/Fiskars-3-Piece-DuraFrame-Garden-Tools-Set/37608528
$8.97,"Average rating:4.4167out of5stars, based on12reviews12ratings Average rating:4.4167out of5stars, based on12reviews12ratings",,"Ames 2915712 30"" Poly Leaf Rake",https://www.walmart.com/ip/Ames-2915712-30-Poly-Leaf-Rake/49694988
$29.99,"Average rating:4.4286out of5stars, based on28reviews28ratings Average rating:4.4286out of5stars, based on28reviews28ratings",,Best Choice Products 7 Piece Garden Tool Set Folding  ...,https://www.walmart.com/ip/Best-Choice-Products-7-Piece-Garden-Tool-Set-Folding-Stool-W-Tool-Bag-5-Stainless-Steel-Tools/110019161
