price,rating,price_range,product_title,JobURL,
$54.32 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Rion 2-Tier Staging Bench,https://www.walmart.com/ip/Rion-2-Tier-Staging-Bench/39591028,0.427419373
$394.99 ,"Average rating:3.3333out of5stars, based on3reviews3ratings Average rating:3.3333out of5stars, based on3reviews3ratings",,FlowerHouse Greenhouse Conservatory,https://www.walmart.com/ip/FlowerHouse-Greenhouse-Conservatory/4810716,0.908697938
$15.30 ,,,"Agfabric,Greenhouse Clear Plastic Film Polyethylene   ...",https://www.walmart.com/ip/Agfabric-Greenhouse-Clear-Plastic-Film-Polyethylene-Covering-DIY-Gardening-Film-0-8mil-6ftx16ft/637758306,0.797185303
$149.99 $290.99,"Average rating:4.3462out of5stars, based on26reviews26ratings Average rating:4.3462out of5stars, based on26reviews26ratings",,SpringHouse Clear Greenhouse,https://www.walmart.com/ip/SpringHouse-Clear-Greenhouse/14234793,0.16229806
$70.58 ,"Average rating:3.75out of5stars, based on8reviews8ratings Average rating:3.75out of5stars, based on8reviews8ratings",,Compact Walk-In Greenhouse,https://www.walmart.com/ip/Compact-Walk-In-Greenhouse/21024338,0.042817308
$48.77 ,,,Shatex 70% Sunblock Shade Cloth 10x20ft Green -Cut E  ...,https://www.walmart.com/ip/Shatex-70-Sunblock-Shade-Cloth-10x20ft-Green-Cut-Edge-with-Free-clips-for-Plant-Cover-Greenhouse-Barn-Kennel-Pool-Pergola-or-Carport/660507282,0.406714626
$5.62 ,,,Winter Greenhouse Natural Fairy Moss - 4 oz for Mini  ...,https://www.walmart.com/ip/Winter-Greenhouse-Natural-Fairy-Moss-4-oz-for-Miniature-Garden-Fairy-Garden/189727693,0.570407049
$12.86 ,,,Agfabric Warm Worth Floating Row Cover & Plant Blank  ...,https://www.walmart.com/ip/Agfabric-Warm-Worth-Floating-Row-Cover-Plant-Blanket-0-55oz-Fabric-of-10x15ft-for-Frost-Protection-Harsh-Weather-Resistance-Seed-Germination/848350862,0.780938556
$10.94 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Ferry Morse/jiffy J425 All In One Greenhouse 25,https://www.walmart.com/ip/Ferry-Morse-jiffy-J425-All-In-One-Greenhouse-25/1762496,0.879862221
$69.99 ,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",,Virtual Sun VS3600-20 Reflective Grow Tent - 36'' x   ...,https://www.walmart.com/ip/Virtual-Sun-VS3600-20-Reflective-Grow-Tent-36-x-20-x-60/41864184,0.337216704
$144.99 ,,,107W Seedling Heat Mat + Hydrofarm MTPRTC Temp Contr  ...,https://www.walmart.com/ip/107W-Seedling-Heat-Mat-Hydrofarm-MTPRTC-Temp-Controller-JSV4-Lighting-System/551027070,0.335398151
$58.87 $82.38,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,"Garden Greenhouse 4' by 4' by 36""",https://www.walmart.com/ip/Garden-Greenhouse-4-by-4-by-36/48011590,0.498018426
$387.09 ,,,Palram Mythos Greenhouse - 6' x 4' - Green,https://www.walmart.com/ip/Palram-Mythos-Greenhouse-6-x-4-Green/45951632,0.413064493
$120.59 ,"Average rating:3.2222out of5stars, based on9reviews9ratings Average rating:3.2222out of5stars, based on9reviews9ratings",,GrowIt Backyard Greenhouse,https://www.walmart.com/ip/GrowIt-Backyard-Greenhouse/47508062,0.311080213
$9.95 ,,,"All-Purpose Fabric, 6’ x 20’",https://www.walmart.com/ip/All-Purpose-Fabric-6-8217-x-20-8217/717640809,0.799815107
$38.42 ,,,Agfabric Warm Worth Floating Row Cover & Plant Blank  ...,https://www.walmart.com/ip/Agfabric-Warm-Worth-Floating-Row-Cover-Plant-Blanket-0-55oz-Fabric-of-7x100ft-for-Frost-Protection-Harsh-Weather-Resistance-Seed-Germination/575923631,0.83333057
"$1,449.98 ","Average rating:4out of5stars, based on1reviews1ratings Average rating:4out of5stars, based on1reviews1ratings",,Safe Grow 10' x 20' Secure Greenhouse,https://www.walmart.com/ip/Safe-Grow-10-x-20-Secure-Greenhouse/42608275,0.859815859
$282.83 ,"Average rating:4.8333out of5stars, based on6reviews6ratings Average rating:4.8333out of5stars, based on6reviews6ratings",,"Flowerhouse DreamHouse, 8'",https://www.walmart.com/ip/Flowerhouse-DreamHouse-8/20595804,0.839390558
$47.52 ,,,"Greenhouse Shade Cloth with Grommets, 8' x 12'",https://www.walmart.com/ip/Greenhouse-Shade-Cloth-with-Grommets-8-x-12/17439673,0.151588712
$20.46 ,,,Ktaxon 5' X 50' 2 Mil Diamond Foil Silver Reflective  ...,https://www.walmart.com/ip/Ktaxon-5-X-50-2-Mil-Diamond-Foil-Silver-Reflective-Mylar-Grow-Room-Film-210D-Oxford-Cloth/239900164,0.283122744
$11.58 ,"Average rating:3.6667out of5stars, based on3reviews3ratings Average rating:3.6667out of5stars, based on3reviews3ratings",,Planters Pride RZG0809 72 Cell Plastic Greenhouse Ki  ...,https://www.walmart.com/ip/Planters-Pride-RZG0809-72-Cell-Plastic-Greenhouse-Kit/19241112,0.076873572
$37.80 ,,,Agfabric 50% Sunblock Shade Cloth 10x30ft Black -Cut  ...,https://www.walmart.com/ip/Agfabric-50-Sunblock-Shade-Cloth-10x30ft-Black-Cut-Edge-with-Free-clips-for-Plant-Cover-Greenhouse-Barn-Kennel-Pool-Pergola-or-Carport/697950834,0.524668821
"$4,562.79 $7,352.99","Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings","$4,562.79 - $7,352.99",Little Cottage 8 x 8 ft. Colonial Gable Greenhouse w  ...,https://www.walmart.com/ip/Little-Cottage-8-x-8-ft-Colonial-Gable-Greenhouse-with-Optional-Floor-Kit/20433654,0.214314267
$89.99 ,,,ZEEZ MARS - 300W Timer Control Full Spectrum LED Gro  ...,https://www.walmart.com/ip/ZEEZ-MARS-300W-Timer-Control-Full-Spectrum-LED-Grow-Light-w-Optical-Lens-For-Greenhouse-Indoor-Seed-Veg-Flower-Bloom-Medical-Plant/116549788,0.377808151
