DetailValue,DetailType,Success,source_product_title,source_JobURL
Brand,EMSCO,Succeeded,"Emsco Group 2850 22.5"" Fan Spring Metal Leaf Rake, 4  ...",https://www.walmart.com/ip/Emsco-Group-2850-22-5-Fan-Spring-Metal-Leaf-Rake-48-Wooden-Handle/54053291
Material,Metal,Succeeded,"Emsco Group 2850 22.5"" Fan Spring Metal Leaf Rake, 4  ...",https://www.walmart.com/ip/Emsco-Group-2850-22-5-Fan-Spring-Metal-Leaf-Rake-48-Wooden-Handle/54053291
Model,2850,Succeeded,"Emsco Group 2850 22.5"" Fan Spring Metal Leaf Rake, 4  ...",https://www.walmart.com/ip/Emsco-Group-2850-22-5-Fan-Spring-Metal-Leaf-Rake-48-Wooden-Handle/54053291
Manufacturer Part Number,9045,Succeeded,"Emsco Group 2850 22.5"" Fan Spring Metal Leaf Rake, 4  ...",https://www.walmart.com/ip/Emsco-Group-2850-22-5-Fan-Spring-Metal-Leaf-Rake-48-Wooden-Handle/54053291
Assembled Product Weight,2.75 lb,Succeeded,"Emsco Group 2850 22.5"" Fan Spring Metal Leaf Rake, 4  ...",https://www.walmart.com/ip/Emsco-Group-2850-22-5-Fan-Spring-Metal-Leaf-Rake-48-Wooden-Handle/54053291
Assembled Product Dimensions (L x W x H),2.00 x 22.00 x 63.00 Inches,Succeeded,"Emsco Group 2850 22.5"" Fan Spring Metal Leaf Rake, 4  ...",https://www.walmart.com/ip/Emsco-Group-2850-22-5-Fan-Spring-Metal-Leaf-Rake-48-Wooden-Handle/54053291
Brand,NitroFusion,Succeeded,LFS Medium Atlas Water Gardner Gloves,https://www.walmart.com/ip/LFS-Medium-Atlas-Water-Gardner-Gloves/19266504
Color,Multicolor,Succeeded,LFS Medium Atlas Water Gardner Gloves,https://www.walmart.com/ip/LFS-Medium-Atlas-Water-Gardner-Gloves/19266504
Fabric Content,100% Multi,Succeeded,LFS Medium Atlas Water Gardner Gloves,https://www.walmart.com/ip/LFS-Medium-Atlas-Water-Gardner-Gloves/19266504
Model,WG772M,Succeeded,LFS Medium Atlas Water Gardner Gloves,https://www.walmart.com/ip/LFS-Medium-Atlas-Water-Gardner-Gloves/19266504
Manufacturer Part Number,WG772M,Succeeded,LFS Medium Atlas Water Gardner Gloves,https://www.walmart.com/ip/LFS-Medium-Atlas-Water-Gardner-Gloves/19266504
Assembled Product Dimensions (L x W x H),15.00 x 5.00 x 1.00 Inches,Succeeded,LFS Medium Atlas Water Gardner Gloves,https://www.walmart.com/ip/LFS-Medium-Atlas-Water-Gardner-Gloves/19266504
Features,"mat, color: red, comfort-grip handles, versatile medium-duty garden claw, four (4) main uses, cultivating, loosening, aerating and weeding, able to use on many soils, useful early in the gardening season to turn first soil of the year, cultivate packed soil",Succeeded,Garden Weasel 91316 Red Garden Claw,https://www.walmart.com/ip/Garden-Weasel-91316-Red-Garden-Claw/21451418
Brand,Garden Weasel,Succeeded,Garden Weasel 91316 Red Garden Claw,https://www.walmart.com/ip/Garden-Weasel-91316-Red-Garden-Claw/21451418
Material,"Spandex, Rayon",Succeeded,Garden Weasel 91316 Red Garden Claw,https://www.walmart.com/ip/Garden-Weasel-91316-Red-Garden-Claw/21451418
Color,Red,Succeeded,Garden Weasel 91316 Red Garden Claw,https://www.walmart.com/ip/Garden-Weasel-91316-Red-Garden-Claw/21451418
Model,91316,Succeeded,Garden Weasel 91316 Red Garden Claw,https://www.walmart.com/ip/Garden-Weasel-91316-Red-Garden-Claw/21451418
Manufacturer Part Number,1330-5099,Succeeded,Garden Weasel 91316 Red Garden Claw,https://www.walmart.com/ip/Garden-Weasel-91316-Red-Garden-Claw/21451418
Assembled Product Dimensions (L x W x H),6.00 x 12.00 x 38.00 Inches,Succeeded,Garden Weasel 91316 Red Garden Claw,https://www.walmart.com/ip/Garden-Weasel-91316-Red-Garden-Claw/21451418
Features,"mat, color: red, comfort-grip handles, versatile medium-duty garden claw, four (4) main uses, cultivating, loosening, aerating and weeding, able to use on many soils, useful early in the gardening season to turn first soil of the year, cultivate packed soil",Succeeded,Unique Bargains Red Metal Grip Trowel Shovel Spade T  ...,https://www.walmart.com/ip/Unique-Bargains-Red-Metal-Grip-Trowel-Shovel-Spade-Tool-for-Garden-Lawn/46139583
Brand,Garden Weasel,Succeeded,Unique Bargains Red Metal Grip Trowel Shovel Spade T  ...,https://www.walmart.com/ip/Unique-Bargains-Red-Metal-Grip-Trowel-Shovel-Spade-Tool-for-Garden-Lawn/46139583
Material,"Spandex, Rayon",Succeeded,Unique Bargains Red Metal Grip Trowel Shovel Spade T  ...,https://www.walmart.com/ip/Unique-Bargains-Red-Metal-Grip-Trowel-Shovel-Spade-Tool-for-Garden-Lawn/46139583
Color,Red,Succeeded,Unique Bargains Red Metal Grip Trowel Shovel Spade T  ...,https://www.walmart.com/ip/Unique-Bargains-Red-Metal-Grip-Trowel-Shovel-Spade-Tool-for-Garden-Lawn/46139583
Model,91316,Succeeded,Unique Bargains Red Metal Grip Trowel Shovel Spade T  ...,https://www.walmart.com/ip/Unique-Bargains-Red-Metal-Grip-Trowel-Shovel-Spade-Tool-for-Garden-Lawn/46139583
Manufacturer Part Number,1330-5099,Succeeded,Unique Bargains Red Metal Grip Trowel Shovel Spade T  ...,https://www.walmart.com/ip/Unique-Bargains-Red-Metal-Grip-Trowel-Shovel-Spade-Tool-for-Garden-Lawn/46139583
Assembled Product Dimensions (L x W x H),6.00 x 12.00 x 38.00 Inches,Succeeded,Unique Bargains Red Metal Grip Trowel Shovel Spade T  ...,https://www.walmart.com/ip/Unique-Bargains-Red-Metal-Grip-Trowel-Shovel-Spade-Tool-for-Garden-Lawn/46139583
Material,Metal,Succeeded,Miniature Fairy Garden Sand Pail and Shovel Set,https://www.walmart.com/ip/Miniature-Fairy-Garden-Sand-Pail-and-Shovel-Set/777456883
Brand,Unique Bargains,Succeeded,Miniature Fairy Garden Sand Pail and Shovel Set,https://www.walmart.com/ip/Miniature-Fairy-Garden-Sand-Pail-and-Shovel-Set/777456883
Manufacturer Part Number,WM12092000WM0229,Succeeded,Miniature Fairy Garden Sand Pail and Shovel Set,https://www.walmart.com/ip/Miniature-Fairy-Garden-Sand-Pail-and-Shovel-Set/777456883
Assembled Product Dimensions (L x W x H),10.63 x 3.15 x 1.18 Inches,Succeeded,Miniature Fairy Garden Sand Pail and Shovel Set,https://www.walmart.com/ip/Miniature-Fairy-Garden-Sand-Pail-and-Shovel-Set/777456883
Brand,Camco,Succeeded,Camco Collapsible Rake,https://www.walmart.com/ip/Camco-Collapsible-Rake/29764384
Assembled Product Weight,1.768 oz,Succeeded,Camco Collapsible Rake,https://www.walmart.com/ip/Camco-Collapsible-Rake/29764384
Manufacturer Part Number,42171,Succeeded,Camco Collapsible Rake,https://www.walmart.com/ip/Camco-Collapsible-Rake/29764384
Model,42171,Succeeded,Camco Collapsible Rake,https://www.walmart.com/ip/Camco-Collapsible-Rake/29764384
Color,Multicolor,Succeeded,Camco Collapsible Rake,https://www.walmart.com/ip/Camco-Collapsible-Rake/29764384
Fabric Content,100% Multi,Succeeded,Camco Collapsible Rake,https://www.walmart.com/ip/Camco-Collapsible-Rake/29764384
Assembled Product Dimensions (L x W x H),30.25 x 7.75 x 2.50 Inches,Succeeded,Camco Collapsible Rake,https://www.walmart.com/ip/Camco-Collapsible-Rake/29764384
Brand,Wonder Grip,Succeeded,Wonder Grip WG318L Large Double Dipped Latex Coated   ...,https://www.walmart.com/ip/Wonder-Grip-WG318L-Large-Double-Dipped-Latex-Coated-Gloves/26970997
Color,"Blue, Black",Succeeded,Wonder Grip WG318L Large Double Dipped Latex Coated   ...,https://www.walmart.com/ip/Wonder-Grip-WG318L-Large-Double-Dipped-Latex-Coated-Gloves/26970997
Fabric Content,100% Multi,Succeeded,Wonder Grip WG318L Large Double Dipped Latex Coated   ...,https://www.walmart.com/ip/Wonder-Grip-WG318L-Large-Double-Dipped-Latex-Coated-Gloves/26970997
Model,WG318L,Succeeded,Wonder Grip WG318L Large Double Dipped Latex Coated   ...,https://www.walmart.com/ip/Wonder-Grip-WG318L-Large-Double-Dipped-Latex-Coated-Gloves/26970997
Manufacturer Part Number,WG318L,Succeeded,Wonder Grip WG318L Large Double Dipped Latex Coated   ...,https://www.walmart.com/ip/Wonder-Grip-WG318L-Large-Double-Dipped-Latex-Coated-Gloves/26970997
Assembled Product Dimensions (L x W x H),10.00 x 5.00 x 0.30 Inches,Succeeded,Wonder Grip WG318L Large Double Dipped Latex Coated   ...,https://www.walmart.com/ip/Wonder-Grip-WG318L-Large-Double-Dipped-Latex-Coated-Gloves/26970997
