price,rating,price_range,product_title,JobURL,
$41.95 ,,,Hybrid Zoysia Grass Seed - 1 Lb.,https://www.walmart.com/ip/Hybrid-Zoysia-Grass-Seed-1-Lb/930030041,0.023512181
$3.50 ,,,"Packet of 1,000 Seeds, Portulaca ""Double Mixture"" (M  ...",https://www.walmart.com/ip/Packet-of-1-000-Seeds-Portulaca-Double-Mixture-Moss-Rose-Open-Pollinated-Seeds-by-Seed-Needs/840142462,0.490738842
$194.99 ,,,Miracle-Gro AeroGarden 7-Pod Extra Indoor LED Light   ...,https://www.walmart.com/ip/Miracle-Gro-AeroGarden-7-Pod-Extra-Indoor-LED-Light-System-w-Seed-Kit-AERO607/244621124,0.099016528
$9.95 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,"White Clover Seed, 1/2 Lb.",https://www.walmart.com/ip/White-Clover-Seed-1-2-Lb/579348863,0.780497912
$3.65 ,,,"Packet of 70 Seeds, Black Beauty Zucchini, Summer Sq  ...",https://www.walmart.com/ip/Packet-of-70-Seeds-Black-Beauty-Zucchini-Summer-Squash-Seeds-Cucurbita-pepo/489096785,0.520704857
$15.02 $19.50,,,"Pennington Smart Seed Tall Fescue Grass Seed, 3 lbs",https://www.walmart.com/ip/Pennington-Smart-Seed-Tall-Fescue-Grass-Seed-3-lbs/55610931,0.882449501
$12.50 ,,,"Packet of 30,000 Seeds, Bird and Butterfly Wildflowe  ...",https://www.walmart.com/ip/Packet-of-30-000-Seeds-Bird-and-Butterfly-Wildflower-Mixture/219918271,0.385795844
$38.44 ,"Average rating:3out of5stars, based on3reviews3ratings Average rating:3out of5stars, based on3reviews3ratings",,GrassFast Natural Seed Germination Blanket,https://www.walmart.com/ip/GrassFast-Natural-Seed-Germination-Blanket/43330335,0.399043948
$33.86 ,"Average rating:2.3333out of5stars, based on3reviews3ratings Average rating:2.3333out of5stars, based on3reviews3ratings",,"Pennington Smart Seed Saves Up To 30% Water, for Sun  ...",https://www.walmart.com/ip/Pennington-Smart-Seed-Saves-Up-To-30-Water-for-Sun-and-Shade-Grass-Seed-7-lbs/20918380,0.678457572
$30.28 ,,,Meadow Wildflower Seed Mix - 4 Oz - Wild Flower Gard  ...,https://www.walmart.com/ip/Meadow-Wildflower-Seed-Mix-4-Oz-Wild-Flower-Garden-Mixture-Plains-Coreopsis-Shasta-Daisy-Baby-s-Breath-Blue-Flax-More/883421065,0.377999499
$66.17 ,"Average rating:4.3125out of5stars, based on16reviews16ratings Average rating:4.3125out of5stars, based on16reviews16ratings",,Scotts Classic Sun & Shade Grass Seed,https://www.walmart.com/ip/Scotts-Classic-Sun-Shade-Grass-Seed/135171081,0.377011973
$27.09 ,"Average rating:4.7826out of5stars, based on23reviews23ratings Average rating:4.7826out of5stars, based on23reviews23ratings",,"Augason Farms Vegetable Garden Seeds, 13 Varieties,   ...",https://www.walmart.com/ip/Augason-Farms-Vegetable-Garden-Seeds-13-Varieties-16-Oz/22001485,0.163732153
$9.28 $4.64,"Average rating:1out of5stars, based on1reviews1ratings Average rating:1out of5stars, based on1reviews1ratings",,"Pennington Pensacola Bahiagrass Grass Seed, 2 lbs",https://www.walmart.com/ip/Pennington-Pensacola-Bahiagrass-Grass-Seed-2-lbs/46855892,0.720948979
$3.50 ,,,"Packet of 2,500 Seeds, Annual Ice Plant Seeds (Dorot  ...",https://www.walmart.com/ip/Packet-of-2-500-Seeds-Annual-Ice-Plant-Seeds-Dorotheanthus-bellidiformis/985070936,0.520483835
