price,rating,price_range,product_title,JobURL,
$48.78 ,"Average rating:1out of5stars, based on1reviews1ratings Average rating:1out of5stars, based on1reviews1ratings",,"Orbit B-hyve Bluetooth Hose Faucet Timer, Also Works  ...",https://www.walmart.com/ip/Orbit-B-hyve-Bluetooth-Hose-Faucet-Timer-Also-Works-as-Extra-Valve-for-Timer-with-Wi-Fi-Hub/822426828,0.361565904
$65.55 ,"Average rating:3.9184out of5stars, based on49reviews49ratings Average rating:3.9184out of5stars, based on49reviews49ratings",,"RTS Home Accents Flat Back Eco Rain Barrel, Black",https://www.walmart.com/ip/RTS-Home-Accents-Flat-Back-Eco-Rain-Barrel-Black/49036809,0.159771547
$54.63 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Orbit 56082 3 Outlet Digital Timer,https://www.walmart.com/ip/Orbit-56082-3-Outlet-Digital-Timer/48630209,0.426849019
$9.63 ,,,"NDS 111BC 10"" Standard Series Round Valve Box",https://www.walmart.com/ip/NDS-111BC-10-Standard-Series-Round-Valve-Box/39925532,0.375911014
$5.32 $16.00,,,Swan 6pc Hoselink Garden Water Hose Coupler Kit Quic  ...,https://www.walmart.com/ip/Swan-6pc-Hoselink-Garden-Water-Hose-Coupler-Kit-Quick-Assembly-5-8-Plastic-Connector/322848178,0.741112005
$5.81 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Gilmour 01FZ 5/8 in & 3/4 in Female Hose End Mender,https://www.walmart.com/ip/Gilmour-01FZ-5-8-in-3-4-in-Female-Hose-End-Mender/21797217,0.061180162
$3.29 ,"Average rating:4out of5stars, based on2reviews2ratings Average rating:4out of5stars, based on2reviews2ratings",,Briggs & Stratton 5091K Genuine Fuel Shut-Off Valve   ...,https://www.walmart.com/ip/Briggs-Stratton-5091K-Genuine-Fuel-Shut-Off-Valve-593171-and-698183-Fits-Quantum-Engines/45857992,0.799221054
$9.99 $16.67,"Average rating:2out of5stars, based on2reviews2ratings Average rating:2out of5stars, based on2reviews2ratings",,Banzai Cyclone Spin Sprinkler (Backyard Aqua Sports   ...,https://www.walmart.com/ip/Banzai-Cyclone-Spin-Sprinkler-Backyard-Aqua-Sports-Water-Sprinkler/55392392,0.403459994
$26.43 $33.35,"Average rating:4.8out of5stars, based on5reviews5ratings Average rating:4.8out of5stars, based on5reviews5ratings",$26.43 - $33.35,Aqua Joe 75' Expandable Lightweight Kink-Free Hose,https://www.walmart.com/ip/Aqua-Joe-75-Expandable-Lightweight-Kink-Free-Hose/55573740,0.775323903
$29.32 $35.31,"Average rating:4.4286out of5stars, based on14reviews14ratings Average rating:4.4286out of5stars, based on14reviews14ratings",,Orbit 58308N Telescoping Tripod Sprinkler,https://www.walmart.com/ip/Orbit-58308N-Telescoping-Tripod-Sprinkler/21375497,0.453624163
$24.98 $28.77,"Average rating:4.8333out of5stars, based on6reviews6ratings Average rating:4.8333out of5stars, based on6reviews6ratings",,Rubber Vinyl Rnfc 5/8in. X 50ft. Hose,https://www.walmart.com/ip/Rubber-Vinyl-Rnfc-5-8in-X-50ft-Hose/20388206,0.715720277
$27.99 ,"Average rating:5out of5stars, based on5reviews5ratings Average rating:5out of5stars, based on5reviews5ratings",,"A/C SAFE AC-080 Window AC Support, Painted Steel",https://www.walmart.com/ip/A-C-SAFE-AC-080-Window-AC-Support-Painted-Steel/40764251,0.868706905
$59.99 ,"Average rating:4.8out of5stars, based on5reviews5ratings Average rating:4.8out of5stars, based on5reviews5ratings",,Emergency Essentials 30 Gallon Water Barrel,https://www.walmart.com/ip/Emergency-Essentials-30-Gallon-Water-Barrel/48735088,0.373816287
$8.99 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Orbit 55069 Saturn III Pop Up Sprinkler,https://www.walmart.com/ip/Orbit-55069-Saturn-III-Pop-Up-Sprinkler/16564901,0.942670852
$86.47 $110.29,"Average rating:4.3309out of5stars, based on272reviews272ratings Average rating:4.3309out of5stars, based on272reviews272ratings",$86.47 - $110.29,"Rain Wizard 50, Oak",https://www.walmart.com/ip/Rain-Wizard-50-Oak/17431214,0.564452909
$10.85 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,TMS Car AC R134a System Port Quick Connector Adapter  ...,https://www.walmart.com/ip/TMS-Car-AC-R134a-System-Port-Quick-Connector-Adapter-HVAC-Auto-Air-Conditioning/328602551,0.898741592
$98.05 ,"Average rating:3.8out of5stars, based on5reviews5ratings Average rating:3.8out of5stars, based on5reviews5ratings",,Camco 22911 25' Taste Pure Heated Drinking Water Hos  ...,https://www.walmart.com/ip/Camco-22911-25-Taste-Pure-Heated-Drinking-Water-Hose-with-Thermostat-Lead-Free/150919927,0.512152436
$44.60 $74.33,"Average rating:2.6667out of5stars, based on6reviews6ratings Average rating:2.6667out of5stars, based on6reviews6ratings",,"Suncast Hose Hideaway, Taupe",https://www.walmart.com/ip/Suncast-Hose-Hideaway-Taupe/22906016,0.847274029
$26.73 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,"TREE GATOR Tree Watering Bag,20 gal.,4 In. dia. 9818  ...",https://www.walmart.com/ip/TREE-GATOR-Tree-Watering-Bag-20-gal-4-In-dia-98183-R/21775701,0.766778429
$134.98 $169.98,"Average rating:4.5out of5stars, based on4reviews4ratings Average rating:4.5out of5stars, based on4reviews4ratings",,Rain Wizard 2-Piece Barrel with Stand,https://www.walmart.com/ip/Rain-Wizard-2-Piece-Barrel-with-Stand/845045326,0.517984344
$31.49 $34.99,"Average rating:2.8out of5stars, based on5reviews5ratings Average rating:2.8out of5stars, based on5reviews5ratings",,Suncast Wall Mounted Hosehandler Hose Reel,https://www.walmart.com/ip/Suncast-Wall-Mounted-Hosehandler-Hose-Reel/13727251,0.306541087
$12.29 ,"Average rating:4.7895out of5stars, based on19reviews19ratings Average rating:4.7895out of5stars, based on19reviews19ratings",,Union 63065 2 Gallon Hunter Green Watering Can,https://www.walmart.com/ip/Union-63065-2-Gallon-Hunter-Green-Watering-Can/51564579,0.122213906
$6.95 $15.99,,,Tooluxe Fire Hose Nozzle | Water Sprayer Garden Adju  ...,https://www.walmart.com/ip/Tooluxe-Fire-Hose-Nozzle-Water-Sprayer-Garden-Adjustable-High-Pressure/118134345,0.395662709
$93.62 $113.99,"Average rating:4.6795out of5stars, based on78reviews78ratings Average rating:4.6795out of5stars, based on78reviews78ratings",,Navigator Rotating Hose Reel,https://www.walmart.com/ip/Navigator-Rotating-Hose-Reel/35754165,0.174813195
$19.99 ,"Average rating:5out of5stars, based on9reviews9ratings Average rating:5out of5stars, based on9reviews9ratings",,Tespressolife 25ft Expandable Garden Hose with 9-set  ...,https://www.walmart.com/ip/Tespressolife-25ft-Expandable-Garden-Hose-with-9-settings-Spray-Nozzle/938801326,0.718894289
$16.15 ,"Average rating:4.2308out of5stars, based on13reviews13ratings Average rating:4.2308out of5stars, based on13reviews13ratings",,Char-Broil 5184667 Hose and Regulator,https://www.walmart.com/ip/Char-Broil-5184667-Hose-and-Regulator/49316784,0.548304138
$41.00 $44.99,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,HOSE POT W REEL,https://www.walmart.com/ip/HOSE-POT-W-REEL/8587376,0.491398926
$3.80 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,"Master Gardener Pro 90-Degree Couplers, Use with 253  ...",https://www.walmart.com/ip/Master-Gardener-Pro-90-Degree-Couplers-Use-with-25320-2620/38472056,0.5024846
$87.95 $96.61,"Average rating:4.4444out of5stars, based on27reviews27ratings Average rating:4.4444out of5stars, based on27reviews27ratings",,"RTS Home Accents Flat Back Rain Barrel, Brown",https://www.walmart.com/ip/RTS-Home-Accents-Flat-Back-Rain-Barrel-Brown/21867600,0.313297044
$27.68 $73.99,"Average rating:5out of5stars, based on2reviews2ratings Average rating:5out of5stars, based on2reviews2ratings",$27.68 - $73.99,"VicTsing Garden Hose Nozzle, 8 Adjustable Watering P  ...",https://www.walmart.com/ip/VicTsing-Garden-Hose-Nozzle-8-Adjustable-Watering-Patterns-Heavy-Duty-Metal-Construction-10-Rubber-Washers-Perfect-Watering-Plants-Car-Wash-Showering/105853923,0.54808519
$17.43 $25.97,"Average rating:1out of5stars, based on1reviews1ratings Average rating:1out of5stars, based on1reviews1ratings",,"Swan Element ELMRV12050 PVC Water Hose, 1/2 In ID",https://www.walmart.com/ip/Swan-Element-ELMRV12050-PVC-Water-Hose-1-2-In-ID/21797992,0.221198578
$21.06 ,"Average rating:2.6667out of5stars, based on9reviews9ratings Average rating:2.6667out of5stars, based on9reviews9ratings",,Flexon® Forever Flow Heavy Duty Lawn and Garden Hose,https://www.walmart.com/ip/Flexon-Forever-Flow-Heavy-Duty-Lawn-and-Garden-Hose/42424572,0.428288336
$33.99 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Nelson 856124-1001 6 Cycle Dual Outlet Water Timer,https://www.walmart.com/ip/Nelson-856124-1001-6-Cycle-Dual-Outlet-Water-Timer/25514687,0.446518485
$14.01 $91.99,,$14.01 - $91.99,Builders Edge 15W in. Raised Panel Vinyl Shutters,https://www.walmart.com/ip/Builders-Edge-15W-in-Raised-Panel-Vinyl-Shutters/40058584,0.63542016
$6.45 ,,,Rainbird A50799 1/4 in X 100' Blank Tubing,https://www.walmart.com/ip/Rainbird-A50799-1-4-in-X-100-Blank-Tubing/20958876,0.69547718
$16.97 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Liberty Garden 234 Star Steel Hose Butler,https://www.walmart.com/ip/Liberty-Garden-234-Star-Steel-Hose-Butler/49572161,0.632595581
$48.92 $69.95,"Average rating:4.625out of5stars, based on16reviews16ratings Average rating:4.625out of5stars, based on16reviews16ratings",,30 lb. Propane Cylinder with Type 1 Overfill Protect  ...,https://www.walmart.com/ip/30-lb-Propane-Cylinder-with-Type-1-Overfill-Protection-Device-Valve-Ships-Empty/6435923,0.229833294
$11.82 ,,,Lawn Genie Solenoid Operator Kit,https://www.walmart.com/ip/Lawn-Genie-Solenoid-Operator-Kit/41136095,0.315861691
$7.99 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Lawn and Garden Hose Nozzle Water Sprayer - 8 SPRAY   ...,https://www.walmart.com/ip/Lawn-and-Garden-Hose-Nozzle-Water-Sprayer-8-SPRAY-PATTERNS/191696849,0.210032154
$7.97 $9.73,"Average rating:1.9out of5stars, based on10reviews10ratings Average rating:1.9out of5stars, based on10reviews10ratings",,Orbit Zinc Impact Sprinkler On Zinc T Spike,https://www.walmart.com/ip/Orbit-Zinc-Impact-Sprinkler-On-Zinc-T-Spike/19726194,0.013780857
$18.88 ,"Average rating:4out of5stars, based on3reviews3ratings Average rating:4out of5stars, based on3reviews3ratings",,HGC Decorative Sunflower & Ladybug Metal Watering Ca  ...,https://www.walmart.com/ip/HGC-Decorative-Sunflower-amp-Ladybug-Metal-Watering-Can/128996342,0.171084188
$5.96 ,"Average rating:5out of5stars, based on4reviews4ratings Average rating:5out of5stars, based on4reviews4ratings",,Gilmour 876S Square Spot Sprinkler,https://www.walmart.com/ip/Gilmour-876S-Square-Spot-Sprinkler/21797174,0.502636429
$85.99 $99.99,"Average rating:4.1719out of5stars, based on64reviews64ratings Average rating:4.1719out of5stars, based on64reviews64ratings",,Suncast SSB200B Swivel Hose Reel Storage Hideaway w/  ...,https://www.walmart.com/ip/Suncast-SSB200B-Swivel-Hose-Reel-Storage-Hideaway-w-Smart-Trak-Hose-Guide-Bin/13727249?wpa_bd=1525503626269&wpa_ref_id=b_f6069ede-8697-41df-b789-f39a328d7411&wpa_aux_info=&wpa_tag=&wpa_pos=5&wpa_plmt=1145x1145_T-C-IG_TI_1-1_HL-INGRID-GRID-NY&wpa_aduid=913d0305-ace7-40f5-9218-8381db392be4&wpa_pg_id=5428_4091_2462840&wpa_st=WateringIrrigation&wpa_tax=5428_4091_2462840&wpa_bucket=,0.394026091
$15.29 $29.99,,,82 Feet 25m Micro Drip Irrigation System Plant Self   ...,https://www.walmart.com/ip/82-Feet-25m-Micro-Drip-Irrigation-System-Plant-Self-Watering-Garden-Hose-Kit/288172133,0.733486924
$26.63 ,,,"Gardener Select Watering Can Copper, 1.06 gal",https://www.walmart.com/ip/Gardener-Select-Watering-Can-Copper-1-06-gal/55541136,0.440970053
$166.54 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Rain Bird Underground Irrigation Automatic Sprinkler  ...,https://www.walmart.com/ip/Rain-Bird-Underground-Irrigation-Automatic-Sprinkler-System-Kit-32ETI/51711759,0.435729141
$21.13 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Whirlpool W10327249 Inlet Valve,https://www.walmart.com/ip/Whirlpool-W10327249-Inlet-Valve/45982608,0.844961485
$14.28 ,"Average rating:5out of5stars, based on1reviews1ratings Average rating:5out of5stars, based on1reviews1ratings",,Designers Edge 4-Outlet Retractable Extension Cord R  ...,https://www.walmart.com/ip/Designers-Edge-4-Outlet-Retractable-Extension-Cord-Reel-20-Foot/20551200,0.660138405
$5.79 ,"Average rating:4.8889out of5stars, based on18reviews18ratings Average rating:4.8889out of5stars, based on18reviews18ratings",,"GE Washer Agitator Coupling Kit, White",https://www.walmart.com/ip/GE-Washer-Agitator-Coupling-Kit-White/39127195,0.130956921
$29.49 ,"Average rating:1out of5stars, based on1reviews1ratings Average rating:1out of5stars, based on1reviews1ratings",,Telebrands Pocket Hose Top Brass Bullet,https://www.walmart.com/ip/Telebrands-Pocket-Hose-Top-Brass-Bullet/169325524,0.433132531
